state_name,month_of_crash,timestamp_of_crash,latitude,longitude,route_signing_name,first_harmful_event_name,number_of_fatalities,number_of_drunk_drivers,age,sex,person_type_name,police_reported_alcohol_involvement,police_reported_drug_involvement,non_motorist_safety_equipment_use
Massachusetts,1,2016-01-06 00:00:00 UTC,41.66155833,-70.20172222,State Highway,Pedestrian,1,0,19,Male,Pedestrian,Not Reported,Not Reported,None Used
North Dakota,11,2016-11-20 02:24:00 UTC,46.939125,-100.61623889,County Road,Pedestrian,1,1,32,Female,Pedestrian,Yes (Alcohol Involved),No (Drugs Not Involved),None Used
Delaware,10,2016-10-26 21:16:00 UTC,39.16163333,-75.51372778,U.S. Highway,Pedestrian,1,0,15,Male,Pedestrian,Not Reported,Not Reported,Lighting
Delaware,7,2016-07-12 11:44:00 UTC,39.72366944,-75.65825,State Highway,Pedestrian,1,0,47,Male,Pedestrian,No (Alcohol Not Involved),No (Drugs Not Involved),None Used
Montana,3,2016-03-08 07:55:00 UTC,45.785275,-108.50698611,Local Street – Municipality,Pedestrian,1,0,83,Male,Pedestrian,No (Alcohol Not Involved),No (Drugs Not Involved),Not Reported
Delaware,9,2016-09-09 21:22:00 UTC,38.5626,-75.55806111,U.S. Highway,Pedestrian,1,0,30,Male,Pedestrian,Yes (Alcohol Involved),No (Drugs Not Involved),None Used
District of Columbia,12,2016-12-27 06:22:00 UTC,38.93543056,-77.03271111,Local Street – Municipality,Pedestrian,1,0,54,Female,Pedestrian,No (Alcohol Not Involved),Yes (Drugs Involved),None Used
Delaware,2,2016-02-10 04:33:00 UTC,39.80803889,-75.51526944,State Highway,Pedestrian,1,0,76,Male,Pedestrian,No (Alcohol Not Involved),No (Drugs Not Involved),None Used
Delaware,6,2016-06-07 13:54:00 UTC,39.04599444,-75.45797222,State Highway,Mail Box,1,0,41,Male,Pedestrian,No (Alcohol Not Involved),No (Drugs Not Involved),None Used
Massachusetts,2,2016-02-23 19:59:00 UTC,42.18563056,-71.05533056,State Highway,Pedestrian,1,0,15,Female,Pedestrian,Not Reported,Not Reported,None Used
Rhode Island,9,2016-09-15 18:25:00 UTC,41.83488333,-71.41361944,Local Street – Municipality,Pedestrian,1,0,76,Female,Pedestrian,No (Alcohol Not Involved),No (Drugs Not Involved),None Used
West Virginia,11,2016-11-15 17:55:00 UTC,39.24560833,-81.62226667,State Highway,Pedestrian,1,0,82,Male,Pedestrian,Yes (Alcohol Involved),No (Drugs Not Involved),None Used
Hawaii,7,2016-07-04 23:00:00 UTC,21.39593889,-158.16191944,State Highway,Pedestrian,1,0,46,Male,Pedestrian,Unknown (Police Reported),Unknown (Police Reported),Not Reported
Alaska,2,2016-02-08 15:05:00 UTC,61.58559722,-149.63210556,Local Street – Municipality,Pedestrian,1,0,15,Male,Pedestrian,No (Alcohol Not Involved),No (Drugs Not Involved),None Used
Rhode Island,7,2016-07-08 21:59:00 UTC,41.57799167,-71.65980556,State Highway,Pedestrian,1,0,21,Male,Pedestrian,No (Alcohol Not Involved),No (Drugs Not Involved),None Used
Iowa,10,2016-10-27 09:47:00 UTC,42.983075,-95.66581944,State Highway,Pedalcyclist,1,0,77,Male,Bicyclist,No (Alcohol Not Involved),No (Drugs Not Involved),Helmet
Rhode Island,2,2016-02-25 19:31:00 UTC,41.67639722,-71.25964444,State Highway,Pedestrian,1,0,66,Male,Pedestrian,Unknown (Police Reported),Unknown (Police Reported),None Used
Hawaii,8,2016-08-08 11:10:00 UTC,21.38048056,-157.93331667,County Road,Pedestrian,1,0,83,Female,Pedestrian,Not Reported,Not Reported,Not Reported
Iowa,7,2016-07-25 12:51:00 UTC,42.026675,-96.09726111,State Highway,Non-Motorist on Personal Conveyance,1,0,86,Male,Person on Personal Conveyances (Since 2007),No (Alcohol Not Involved),No (Drugs Not Involved),None Used
Iowa,10,2016-10-27 06:52:00 UTC,41.56589444,-93.6235,Local Street – Municipality,Pedestrian,1,0,12,Male,Pedestrian,Not Reported,Not Reported,Not Reported
Hawaii,5,2016-05-20 10:10:00 UTC,21.29659722,-157.84215,County Road,Pedestrian,1,0,52,Female,Pedestrian,No (Alcohol Not Involved),No (Drugs Not Involved),Not Reported
Hawaii,1,2016-01-06 13:50:00 UTC,21.43988611,-158.18619722,State Highway,Pedestrian,1,1,84,Male,Pedestrian,Not Reported,Not Reported,Not Reported
Vermont,10,2016-10-14 17:15:00 UTC,44.95189444,-73.11251667,U.S. Highway,Pedalcyclist,1,0,14,Male,Bicyclist,No (Alcohol Not Involved),No (Drugs Not Involved),None Used
District of Columbia,2,2016-02-22 18:44:00 UTC,38.91830278,-77.06986944,Local Street – Municipality,Pedestrian,1,1,77,Female,Pedestrian,Not Reported,Unknown (Police Reported),None Used
District of Columbia,1,2016-01-01 04:08:00 UTC,38.88598889,-76.95580556,Local Street – Municipality,Pedestrian,1,0,36,Male,Pedestrian,Yes (Alcohol Involved),Yes (Drugs Involved),None Used
Maine,11,2016-11-01 08:29:00 UTC,43.66325278,-70.27226944,Local Street – Municipality,Pedestrian,1,0,23,Female,Pedestrian,No (Alcohol Not Involved),No (Drugs Not Involved),None Used
Rhode Island,8,2016-08-31 17:22:00 UTC,41.63231389,-71.46667778,U.S. Highway,Pedestrian,1,0,52,Male,Pedestrian,Unknown (Police Reported),Unknown (Police Reported),None Used
Maine,11,2016-11-16 18:57:00 UTC,43.73123056,-70.37195,Local Street – Municipality,Pedalcyclist,1,1,26,Male,Bicyclist,No (Alcohol Not Involved),Not Reported,None Used
Wyoming,11,2016-11-10 06:22:00 UTC,43.02680833,-108.38066111,U.S. Highway,Pedestrian,1,0,68,Male,Pedestrian,No (Alcohol Not Involved),No (Drugs Not Involved),None Used
Idaho,4,2016-04-08 14:42:00 UTC,43.56771111,-116.20741944,Local Street – Municipality,Pedestrian,1,0,64,Male,Pedestrian,No (Alcohol Not Involved),No (Drugs Not Involved),Not Reported
Montana,8,2016-08-08 22:00:00 UTC,46.74108333,-113.70086111,Interstate,Pedestrian,1,0,26,Male,Pedestrian,Yes (Alcohol Involved),Not Reported,None Used
Hawaii,6,2016-06-18 05:04:00 UTC,21.31000278,-157.85425833,County Road,Pedestrian,1,0,56,Female,Pedestrian,Unknown (Police Reported),Unknown (Police Reported),Not Reported
Hawaii,4,2016-04-16 21:45:00 UTC,21.33023889,-157.69309167,State Highway,Pedestrian,1,0,45,Female,Pedestrian,Yes (Alcohol Involved),Yes (Drugs Involved),Not Reported
West Virginia,12,2016-12-04 22:00:00 UTC,37.76575556,-81.20264722,State Highway,Pedestrian,1,0,47,Male,Pedestrian,Yes (Alcohol Involved),Not Reported,None Used
Iowa,6,2016-06-25 09:36:00 UTC,41.56196667,-91.30447778,County Road,Pedalcyclist,1,0,40,Female,Bicyclist,No (Alcohol Not Involved),Yes (Drugs Involved),Helmet
Hawaii,12,2016-12-31 19:30:00 UTC,21.37441389,-157.92521944,Interstate,Pedestrian,1,0,34,Male,Pedestrian,No (Alcohol Not Involved),No (Drugs Not Involved),Not Reported
North Dakota,8,2016-08-27 20:50:00 UTC,48.76126667,-98.35341389,State Highway,Pedestrian,1,0,31,Female,Pedestrian,Unknown (Police Reported),Unknown (Police Reported),Unknown if Used
New Hampshire,7,2016-07-27 17:52:00 UTC,43.97745278,-71.12805278,Local Street – Municipality,Pedalcyclist,1,0,36,Male,Bicyclist,No (Alcohol Not Involved),No (Drugs Not Involved),None Used
Iowa,11,2016-11-09 22:54:00 UTC,41.53827222,-90.56299444,Local Street – Municipality,Pedestrian,1,0,26,Male,Pedestrian,No (Alcohol Not Involved),No (Drugs Not Involved),None Used
Idaho,11,2016-11-21 19:59:00 UTC,47.703275,-116.78619167,Local Street – Municipality,Pedestrian,1,0,51,Male,Pedestrian,No (Alcohol Not Involved),No (Drugs Not Involved),Not Reported
Alaska,1,2016-01-17 17:18:00 UTC,61.20771111,-149.86691944,State Highway,Motor Vehicle in Transport,1,1,60,Male,Pedestrian,No (Alcohol Not Involved),No (Drugs Not Involved),Unknown if Used
Hawaii,9,2016-09-11 04:46:00 UTC,21.33202778,-157.69671944,State Highway,Pedestrian,1,0,76,Male,Pedestrian,Not Reported,Not Reported,Not Reported
Massachusetts,9,2016-09-21 19:07:00 UTC,42.530225,-71.22842778,State Highway,Pedestrian,1,0,72,Male,Pedestrian,Not Reported,Not Reported,Not Reported
Idaho,6,2016-06-30 12:17:00 UTC,48.31521667,-116.52449167,Local Street – Municipality,Pedestrian,1,0,61,Female,Pedestrian,No (Alcohol Not Involved),No (Drugs Not Involved),Not Reported
Idaho,6,2016-06-30 12:17:00 UTC,48.31521667,-116.52449167,Local Street – Municipality,Pedestrian,1,0,61,Female,Pedestrian,No (Alcohol Not Involved),No (Drugs Not Involved),Not Reported
West Virginia,12,2016-12-05 09:20:00 UTC,38.99603333,-80.24560556,U.S. Highway,Parked Motor Vehicle (Not In Transport),1,0,38,Male,Pedestrian,No (Alcohol Not Involved),No (Drugs Not Involved),None Used
West Virginia,8,2016-08-15 21:55:00 UTC,37.82344444,-82.06005556,County Road,Pedestrian,1,0,62,Male,Pedestrian,No (Alcohol Not Involved),No (Drugs Not Involved),None Used
South Dakota,8,2016-08-21 17:45:00 UTC,44.06296667,-99.43991667,County Road,Pedestrian,1,0,3,Male,Pedestrian,No (Alcohol Not Involved),No (Drugs Not Involved),None Used
Delaware,10,2016-10-17 12:31:00 UTC,39.32201111,-75.60966389,State Highway,Pedestrian,1,0,64,Male,Pedestrian,No (Alcohol Not Involved),No (Drugs Not Involved),None Used
Delaware,11,2016-11-17 18:48:00 UTC,39.76948889,-75.50291944,U.S. Highway,Pedestrian,1,0,84,Male,Pedestrian,No (Alcohol Not Involved),No (Drugs Not Involved),None Used
North Dakota,5,2016-05-17 15:35:00 UTC,46.90639167,-98.69929167,Local Street – Municipality,Pedalcyclist,1,0,14,Male,Bicyclist,Unknown (Police Reported),Unknown (Police Reported),None Used
West Virginia,6,2016-06-23 01:40:00 UTC,38.1753,-81.45381944,Interstate,Pedestrian,1,0,20,Female,Pedestrian,No (Alcohol Not Involved),Not Reported,Not Reported
Montana,11,2016-11-03 21:41:00 UTC,45.78789167,-108.50961389,Local Street – Municipality,Pedestrian,1,0,44,Female,Pedestrian,Yes (Alcohol Involved),Not Reported,Not Reported
Rhode Island,8,2016-08-24 08:14:00 UTC,41.824675,-71.41248056,Local Street – Municipality,Pedestrian,1,0,30,Female,Pedestrian,No (Alcohol Not Involved),No (Drugs Not Involved),Not Reported
Idaho,5,2016-05-22 04:46:00 UTC,43.51413333,-116.53298611,Local Street – Township,Pedestrian,1,0,83,Female,Pedestrian,No (Alcohol Not Involved),No (Drugs Not Involved),Not Reported
Hawaii,10,2016-10-03 19:43:00 UTC,19.71903611,-155.08163333,State Highway,Pedestrian,1,0,64,Male,Pedestrian,Yes (Alcohol Involved),Not Reported,Not Reported
Idaho,5,2016-05-02 15:45:00 UTC,47.7031,-116.88623889,Local Street – Municipality,Pedalcyclist,1,0,8,Male,Bicyclist,No (Alcohol Not Involved),No (Drugs Not Involved),Helmet
North Dakota,5,2016-05-28 16:27:00 UTC,48.50149722,-99.72282222,State Highway,Ridden Animal or Animal-Drawn Conveyance (Since 1998),1,0,53,Male,Occupant of a Non-Motor Vehicle Transport Device,No (Alcohol Not Involved),No (Drugs Not Involved),Not Reported
North Dakota,5,2016-05-28 16:27:00 UTC,48.50149722,-99.72282222,State Highway,Ridden Animal or Animal-Drawn Conveyance (Since 1998),1,0,53,Male,Occupant of a Non-Motor Vehicle Transport Device,No (Alcohol Not Involved),No (Drugs Not Involved),Not Reported
North Dakota,5,2016-05-28 16:27:00 UTC,48.50149722,-99.72282222,State Highway,Ridden Animal or Animal-Drawn Conveyance (Since 1998),1,0,53,Male,Occupant of a Non-Motor Vehicle Transport Device,No (Alcohol Not Involved),No (Drugs Not Involved),Not Reported
North Dakota,5,2016-05-28 16:27:00 UTC,48.50149722,-99.72282222,State Highway,Ridden Animal or Animal-Drawn Conveyance (Since 1998),1,0,53,Male,Occupant of a Non-Motor Vehicle Transport Device,No (Alcohol Not Involved),No (Drugs Not Involved),Not Reported
North Dakota,5,2016-05-28 16:27:00 UTC,48.50149722,-99.72282222,State Highway,Ridden Animal or Animal-Drawn Conveyance (Since 1998),1,0,53,Male,Occupant of a Non-Motor Vehicle Transport Device,No (Alcohol Not Involved),No (Drugs Not Involved),Not Reported
North Dakota,5,2016-05-28 16:27:00 UTC,48.50149722,-99.72282222,State Highway,Ridden Animal or Animal-Drawn Conveyance (Since 1998),1,0,53,Male,Occupant of a Non-Motor Vehicle Transport Device,No (Alcohol Not Involved),No (Drugs Not Involved),Not Reported
North Dakota,5,2016-05-28 16:27:00 UTC,48.50149722,-99.72282222,State Highway,Ridden Animal or Animal-Drawn Conveyance (Since 1998),1,0,53,Male,Occupant of a Non-Motor Vehicle Transport Device,No (Alcohol Not Involved),No (Drugs Not Involved),Not Reported
New Hampshire,11,2016-11-08 07:03:00 UTC,42.94306667,-71.5632,Local Street – Municipality,Pedestrian,1,0,58,Male,Pedestrian,No (Alcohol Not Involved),No (Drugs Not Involved),"Reflective Clothing (Jacket, Backpack, etc.)"
New Hampshire,11,2016-11-08 07:03:00 UTC,42.94306667,-71.5632,Local Street – Municipality,Pedestrian,1,0,58,Male,Pedestrian,No (Alcohol Not Involved),No (Drugs Not Involved),"Reflective Clothing (Jacket, Backpack, etc.)"
Nebraska,11,2016-11-12 22:31:00 UTC,40.81382222,-96.74935278,U.S. Highway,Pedestrian,1,0,13,Female,Pedestrian,No (Alcohol Not Involved),No (Drugs Not Involved),None Used
Hawaii,4,2016-04-08 19:55:00 UTC,21.270675,-157.80290833,County Road,Pedestrian,1,0,73,Female,Pedestrian,No (Alcohol Not Involved),No (Drugs Not Involved),Not Reported
Nebraska,4,2016-04-16 02:26:00 UTC,41.29258056,-96.07576111,Local Street – Municipality,Pedestrian,1,1,34,Male,Pedestrian,Unknown (Police Reported),Unknown (Police Reported),None Used
New Hampshire,10,2016-10-31 18:17:00 UTC,43.21873611,-71.50132222,Local Street – Municipality,Pedestrian,1,0,83,Female,Pedestrian,No (Alcohol Not Involved),No (Drugs Not Involved),None Used
Idaho,11,2016-11-29 17:55:00 UTC,47.70074167,-116.77958889,Local Street – Municipality,Pedestrian,1,0,74,Female,Pedestrian,No (Alcohol Not Involved),No (Drugs Not Involved),Not Reported
North Dakota,11,2016-11-14 14:40:00 UTC,46.82820833,-96.83909722,Local Street – Municipality,Pedalcyclist,1,0,64,Male,Bicyclist,No (Alcohol Not Involved),No (Drugs Not Involved),None Used
Maine,12,2016-12-23 17:27:00 UTC,44.79036111,-68.74783056,Local Street – Municipality,Pedestrian,1,0,91,Female,Pedestrian,Not Reported,Not Reported,None Used
West Virginia,10,2016-10-21 22:37:00 UTC,38.35591389,-81.63858056,U.S. Highway,Pedestrian,1,0,70,Male,Pedestrian,No (Alcohol Not Involved),No (Drugs Not Involved),None Used
New Hampshire,1,2016-01-22 08:48:00 UTC,42.77890278,-72.1366,State Highway,Pedestrian,1,0,63,Male,Pedestrian,No (Alcohol Not Involved),No (Drugs Not Involved),"Reflective Clothing (Jacket, Backpack, etc.)"
Iowa,2,2016-02-01 18:53:00 UTC,41.58317222,-93.80385833,Local Street – Municipality,Pedestrian,1,0,69,Male,Pedestrian,No (Alcohol Not Involved),No (Drugs Not Involved),Not Reported
Montana,5,2016-05-07 19:31:00 UTC,47.69280556,-114.1444,U.S. Highway,Pedestrian,1,0,64,Male,Pedestrian,Unknown (Police Reported),Unknown (Police Reported),None Used
Nebraska,8,2016-08-08 06:02:00 UTC,41.23369722,-96.05811944,Local Street – Municipality,Pedestrian,1,0,29,Female,Pedestrian,Unknown (Police Reported),Unknown (Police Reported),None Used
Rhode Island,12,2016-12-15 18:59:00 UTC,41.74509722,-71.435525,Local Street – Municipality,Pedestrian,1,0,70,Male,Pedestrian,No (Alcohol Not Involved),No (Drugs Not Involved),None Used
Massachusetts,10,2016-10-03 20:25:00 UTC,41.79026944,-70.75262222,State Highway,Pedestrian,1,0,56,Male,Pedestrian,Not Reported,Not Reported,None Used
Nebraska,9,2016-09-07 15:18:00 UTC,40.58974167,-98.39231944,U.S. Highway,Pedestrian,1,0,72,Female,Pedestrian,No (Alcohol Not Involved),No (Drugs Not Involved),None Used
South Dakota,10,2016-10-12 00:16:00 UTC,44.08756389,-103.19865556,Local Street – Municipality,Pedestrian,1,0,53,Male,Pedestrian,Not Reported,Not Reported,None Used
Montana,1,2016-01-13 10:15:00 UTC,47.53383611,-107.61141389,County Road,Pedestrian,1,0,72,Male,Pedestrian,No (Alcohol Not Involved),No (Drugs Not Involved),Not Reported
Maine,11,2016-11-03 07:10:00 UTC,44.10655833,-70.21069444,State Highway,Pedestrian,1,0,13,Male,Pedestrian,No (Alcohol Not Involved),No (Drugs Not Involved),None Used
Massachusetts,6,2016-06-16 17:18:00 UTC,42.42598056,-71.33684722,State Highway,Pedalcyclist,1,0,61,Male,Bicyclist,Not Reported,Not Reported,None Used
Massachusetts,3,2016-03-10 19:00:00 UTC,42.27155,-71.02251389,State Highway,Pedestrian,1,0,80,Male,Pedestrian,Not Reported,Not Reported,Not Reported
New Hampshire,7,2016-07-15 02:30:00 UTC,42.90540278,-71.77698889,Local Street – Municipality,Pedestrian,1,0,60,Male,Pedestrian,No (Alcohol Not Involved),No (Drugs Not Involved),None Used
Alaska,12,2016-12-13 23:54:00 UTC,61.15364444,-149.85483056,Local Street – Frontage Road (Since 1994),Pedestrian,1,0,27,Female,Pedestrian,No (Alcohol Not Involved),No (Drugs Not Involved),Not Reported
Iowa,9,2016-09-19 19:10:00 UTC,43.45093056,-92.17611667,County Road,Ridden Animal or Animal-Drawn Conveyance (Since 1998),1,0,57,Male,Occupant of a Non-Motor Vehicle Transport Device,No (Alcohol Not Involved),No (Drugs Not Involved),None Used
Rhode Island,7,2016-07-26 12:15:00 UTC,41.42716111,-71.520825,U.S. Highway,Pedalcyclist,1,0,22,Female,Bicyclist,No (Alcohol Not Involved),No (Drugs Not Involved),Helmet
Delaware,12,2016-12-03 01:39:00 UTC,39.00591111,-75.54488056,State Highway,Pedestrian,1,0,32,Male,Pedestrian,No (Alcohol Not Involved),No (Drugs Not Involved),None Used
Iowa,5,2016-05-06 02:56:00 UTC,42.46719444,-93.18824722,County Road,Pedestrian,1,1,32,Male,Pedestrian,No (Alcohol Not Involved),No (Drugs Not Involved),Not Reported
North Dakota,8,2016-08-17 07:02:00 UTC,48.85216389,-99.62583889,Local Street – Municipality,Pedestrian,1,0,64,Female,Pedestrian,No (Alcohol Not Involved),No (Drugs Not Involved),None Used
Delaware,7,2016-07-02 02:38:00 UTC,39.2023,-75.55911944,U.S. Highway,Pedalcyclist,1,0,47,Male,Bicyclist,Yes (Alcohol Involved),Not Reported,None Used
Massachusetts,10,2016-10-22 18:44:00 UTC,41.52938889,-70.66579167,State Highway,Pedestrian,1,0,57,Male,Pedestrian,Yes (Alcohol Involved),Yes (Drugs Involved),None Used
Massachusetts,11,2016-11-03 22:20:00 UTC,42.36775,-71.26954167,Interstate,Pedestrian,1,0,42,Male,Pedestrian,Not Reported,Not Reported,None Used
Idaho,9,2016-09-02 01:48:00 UTC,43.58289444,-116.21377778,Local Street – Municipality,Pedalcyclist,1,0,50,Male,Bicyclist,No (Alcohol Not Involved),No (Drugs Not Involved),None Used
Iowa,4,2016-04-23 11:59:00 UTC,41.59959722,-93.58800556,Interstate,Pedestrian,1,0,51,Male,Pedestrian,No (Alcohol Not Involved),No (Drugs Not Involved),Not Reported
Delaware,1,2016-01-26 17:13:00 UTC,38.73196111,-75.62571111,State Highway,Pedestrian,1,0,84,Male,Pedestrian,Not Reported,Not Reported,"Reflective Clothing (Jacket, Backpack, etc.)"
West Virginia,9,2016-09-24 22:15:00 UTC,38.43759722,-81.4891,U.S. Highway,Pedalcyclist,1,0,46,Male,Bicyclist,No (Alcohol Not Involved),No (Drugs Not Involved),None Used
Iowa,9,2016-09-01 10:10:00 UTC,41.50894167,-90.73953611,U.S. Highway,Pedestrian,1,0,62,Male,Pedestrian,No (Alcohol Not Involved),No (Drugs Not Involved),Not Reported
Idaho,2,2016-02-01 14:19:00 UTC,47.46027222,-115.72342222,Interstate,Motor Vehicle in Transport,1,0,61,Male,Pedestrian,No (Alcohol Not Involved),No (Drugs Not Involved),None Used
Iowa,11,2016-11-09 15:33:00 UTC,41.26548333,-95.8432,U.S. Highway,Pedestrian,1,0,11,Male,Pedestrian,Not Reported,Not Reported,Not Reported
Rhode Island,1,2016-01-12 08:00:00 UTC,41.91279722,-71.40350833,State Highway,Pedestrian,1,0,81,Female,Pedestrian,No (Alcohol Not Involved),No (Drugs Not Involved),None Used
Idaho,10,2016-10-22 07:28:00 UTC,43.54528333,-116.57045833,Local Street – Municipality,Pedestrian,1,1,43,Male,Pedestrian,No (Alcohol Not Involved),No (Drugs Not Involved),Not Reported
Idaho,10,2016-10-22 07:28:00 UTC,43.54528333,-116.57045833,Local Street – Municipality,Pedestrian,1,1,43,Male,Pedestrian,No (Alcohol Not Involved),No (Drugs Not Involved),Not Reported
Idaho,10,2016-10-22 07:28:00 UTC,43.54528333,-116.57045833,Local Street – Municipality,Pedestrian,1,1,43,Male,Pedestrian,No (Alcohol Not Involved),No (Drugs Not Involved),Not Reported
Nebraska,9,2016-09-11 00:53:00 UTC,41.48452222,-97.38749167,County Road,Pedestrian,1,0,40,Male,Pedestrian,Unknown (Police Reported),Unknown (Police Reported),Not Reported
